day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-07-25,501,7.69,4519,0.295468
2016-07-25,501,7.99,4263,0.277036
2016-07-25,501,8.3,4087,0.264364
2016-07-25,501,8.6,4034,0.260548
2016-07-25,501,8.91,4676,0.306772
2016-07-25,502,0.13,2357,0.097736
2016-07-25,502,0.44,4983,0.223784
2016-07-25,502,0.74,5277,0.237896
2016-07-25,502,1.05,5970,0.27116
2016-07-25,502,1.35,5639,0.255272
2016-07-25,502,1.66,5654,0.255992
2016-07-25,503,0.2,3823,0.245356
2016-07-25,503,0.5,3773,0.241756
2016-07-25,503,0.81,3915,0.25198000000000004
2016-07-25,503,1.11,3983,0.25687600000000005
2016-07-25,503,1.42,3997,0.257884
2016-07-25,503,1.72,4132,0.267604
2016-07-25,503,2.03,4082,0.264004
2016-07-25,503,2.33,3975,0.2563
2016-07-25,503,2.64,3839,0.246508
2016-07-25,503,2.94,4293,0.279196
2016-07-25,503,3.25,3963,0.255436
2016-07-25,503,3.55,3907,0.251404
2016-07-25,503,3.86,3794,0.24326799999999998
2016-07-25,503,4.16,3865,0.24838000000000002
2016-07-25,503,4.47,4096,0.26501199999999997
2016-07-25,503,4.77,4110,0.26602
2016-07-25,503,5.08,3977,0.256444
2016-07-25,503,5.38,4009,0.258748
2016-07-25,503,5.69,4152,0.269044
2016-07-25,503,5.99,3973,0.256156
2016-07-25,503,6.3,4138,0.268036
2016-07-25,503,6.6,4101,0.265372
2016-07-25,503,7.01,4139,0.268108
2016-07-25,503,7.29,4225,0.2743
2016-07-25,503,7.51,4097,0.26508400000000004
2016-07-25,505,0.21,3123,0.13450399999999998
2016-07-25,505,0.51,4377,0.194696
2016-07-25,505,0.82,3940,0.17372
2016-07-25,505,1.12,4568,0.20386399999999996
2016-07-25,505,1.43,4562,0.203576
2016-07-25,505,1.73,4492,0.200216
2016-07-25,505,2.04,4372,0.194456
2016-07-25,505,2.34,4835,0.21668
2016-07-25,505,2.65,4407,0.19613599999999998
2016-07-25,505,2.95,4510,0.20108
2016-07-25,505,3.26,4993,0.224264
2016-07-25,505,3.56,4510,0.20108
2016-07-25,505,3.87,4744,0.212312
2016-07-25,505,4.17,5200,0.2342
2016-07-25,505,4.48,5024,0.225752
2016-07-25,505,4.78,5612,0.25397600000000004
2016-07-25,505,5.09,5203,0.234344
2016-07-25,505,5.39,5336,0.24072800000000003
2016-07-25,505,5.7,5205,0.23444
2016-07-25,505,6.0,5160,0.23228000000000001
2016-07-25,506,0.2,3786,0.24269200000000002
2016-07-25,506,0.51,4767,0.313324
2016-07-25,506,0.81,4548,0.297556
2016-07-25,506,1.12,4781,0.314332
2016-07-25,506,1.42,5082,0.33600399999999997
2016-07-25,506,1.73,5416,0.360052
2016-07-25,506,2.03,5059,0.334348
2016-07-25,506,2.34,5328,0.353716
2016-07-25,506,2.64,5486,0.365092
2016-07-25,506,2.95,5639,0.376108
2016-07-25,507,0.21,4490,0.20012
2016-07-25,507,0.51,5612,0.25397600000000004
2016-07-25,507,0.82,4934,0.22143200000000002
2016-07-25,507,1.12,4834,0.21663200000000002
2016-07-25,507,1.43,4756,0.21288800000000002
2016-07-25,508,0.21,4501,0.200648
2016-07-25,508,0.51,6688,0.30562399999999995
2016-07-25,508,0.82,6410,0.29228000000000004
2016-07-25,508,1.12,7084,0.324632
2016-07-25,508,1.43,7409,0.34023200000000003
2016-07-25,MN-1,0.19,3443,0.149864
2016-07-25,MN-1,0.5,5680,0.25724
2016-07-25,MN-1,0.8,4801,0.215048
2016-07-25,MN-1,1.11,5093,0.22906400000000002
2016-07-25,MN-1,1.41,5608,0.253784
2016-07-25,MN-1,1.72,6588,0.300824
2016-07-25,MN-1,2.02,8023,0.369704
2016-07-25,MS-4,0.2,3186,0.13752799999999998
2016-07-25,MS-4,0.5,4077,0.180296
2016-07-25,MS-4,0.81,4803,0.215144
2016-07-25,MS-4,1.11,4841,0.21698399999999998
2016-07-25,MS-4,1.42,5647,0.255656
2016-07-25,MS-4,1.72,6321,0.288008
2016-07-25,standard counts,0.0,7509,
2016-08-26,500,0.09,1366,0.068452
